time	step	train_loss	lr	acc	smilarity
01-07 18:22	31600	2.2992310523986816	7.802199999999978e-06	0.09528819082383778	0.08523510458568732
01-07 18:23	32000	2.2667970657348633	7.777224999999977e-06	0.09135064586587349	0.08227544683867537
01-07 18:24	32400	2.3578124046325684	7.727274999999978e-06	0.097907340457237	0.08703472622885154
01-07 18:25	32800	2.2878224849700928	7.702299999999977e-06	0.09605564210769381	0.08746307008923629
01-07 18:26	33200	2.288166046142578	7.677324999999978e-06	0.10193447352531833	0.08631425135983875
01-07 18:27	33600	2.3333740234375	7.652349999999978e-06	0.10123308874549071	0.0898182597488929
01-07 18:28	34000	2.3710317611694336	7.627374999999977e-06	0.09523032456588575	0.08172250238175573
01-07 18:28	34400	2.38568115234375	7.602399999999977e-06	0.09801968929212475	0.08615922626967613
01-07 18:29	34800	2.2975571155548096	7.577424999999977e-06	0.09648334301379821	0.08334906131793293
01-07 18:30	35200	2.285912275314331	7.5274749999999774e-06	0.09071519087314651	0.08176610790766202
01-07 18:31	35600	2.224888324737549	7.502499999999978e-06	0.09693292265683197	0.08529677509497373
01-07 18:32	36000	2.212611675262451	7.477524999999978e-06	0.09549944189279795	0.08610778564634994
01-07 18:33	36400	2.2167038917541504	7.452549999999978e-06	0.0948834943662353	0.08322858184767076
01-07 18:34	36800	2.3206787109375	7.427574999999978e-06	0.0988924420686819	0.08579980147381623
01-07 18:35	37200	2.276611328125	7.402599999999977e-06	0.09067870079781855	0.08254501085059762
01-07 18:36	37600	2.1749486923217773	7.3776249999999775e-06	0.09970635671373071	0.0864559625967955
01-07 18:36	38000	2.2292287349700928	7.352649999999978e-06	0.09318330883809121	0.08379581050039864
01-07 18:37	38400	2.2202868461608887	7.3026999999999775e-06	0.08278886836573932	0.07541861189290498
01-07 18:38	38800	2.213499069213867	7.277724999999977e-06	0.10529623652691185	0.08862574718510492
01-07 18:39	39200	2.1864407062530518	7.252749999999977e-06	0.1004745892731425	0.08540094782335637
01-07 18:40	39600	2.1975910663604736	7.227774999999977e-06	0.09565909805783204	0.08582308367849925
01-07 18:41	40000	2.208829402923584	7.202799999999977e-06	0.09166091750584171	0.08221338082773562
01-07 18:42	40400	2.2015128135681152	7.177824999999977e-06	0.10184366150915024	0.08648809365546092
01-07 18:43	40800	2.117708206176758	7.152849999999978e-06	0.09531706000051243	0.08295530200195617
01-07 18:43	41200	2.204882860183716	7.102899999999978e-06	0.09697345028769071	0.0821508313409793
01-07 18:44	41600	2.1930184364318848	7.0779249999999785e-06	0.0940863092907325	0.0830988606485801
01-07 18:45	42000	2.201524019241333	7.052949999999979e-06	0.09568774466035544	0.08636708213732792
01-07 18:46	42400	2.24078369140625	7.027974999999979e-06	0.09724559200454026	0.08451462618242471
01-07 18:47	42800	2.2009549140930176	7.002999999999979e-06	0.09404964120643973	0.08528767187052813
01-07 18:48	43200	2.22412109375	6.978024999999979e-06	0.09441482622014545	0.0845405847216264
01-07 18:49	43600	2.146949291229248	6.953049999999978e-06	0.09505663313672684	0.0849707091274934
01-07 18:50	44000	2.210118532180786	6.903099999999979e-06	0.0940220256459404	0.08267224928698479
01-07 18:51	44400	2.192584276199341	6.878124999999979e-06	0.08404770697663813	0.07935431036047445
01-07 18:51	44800	2.222222328186035	6.8531499999999794e-06	0.09559240487160635	0.08511814928780764
01-07 18:52	45200	2.2030630111694336	6.82817499999998e-06	0.09407484722550545	0.08471120559634306
01-07 18:53	45600	2.240478515625	6.80319999999998e-06	0.08604819664984206	0.08114505936511054
01-07 18:54	46000	2.1768798828125	6.77822499999998e-06	0.08981615647031316	0.08286472596228123
01-07 18:55	46400	2.1086065769195557	6.753249999999981e-06	0.09482598160840583	0.08461992347087616
01-07 18:56	46800	2.142609119415283	6.728274999999981e-06	0.09026453562290224	0.08186526787586704
01-07 18:57	47200	2.1296746730804443	6.67832499999998e-06	0.09350003940871739	0.08226430320586914
01-07 18:58	47600	2.1448514461517334	6.65334999999998e-06	0.08040471398154016	0.0771512968513446
01-07 18:59	48000	2.104541778564453	6.6283749999999795e-06	0.10111712131818039	0.08934128647431348
01-07 18:59	48400	2.1280598640441895	6.603399999999979e-06	0.09545998961736901	0.08502318643224543
01-07 19:00	48800	2.146639347076416	6.5784249999999784e-06	0.09379389041407575	0.08388095969955126
